IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.49.246,80,false,HKG,Asia Pacific,Hong Kong,65 ms,22899 kB/s
8.218.8.142,2095,false,HKG,Asia Pacific,Hong Kong,56 ms,19599 kB/s
47.243.5.154,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,18682 kB/s
47.243.169.63,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,18229 kB/s
8.218.48.92,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,16761 kB/s
8.217.91.121,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,16106 kB/s
8.217.85.14,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,16089 kB/s
8.210.245.224,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,15958 kB/s
8.210.146.108,2095,false,HKG,Asia Pacific,Hong Kong,60 ms,15932 kB/s
8.217.193.25,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,15862 kB/s
47.242.79.71,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,15752 kB/s
8.217.251.62,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,15544 kB/s
8.218.142.253,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,15533 kB/s
47.242.155.183,8880,false,HKG,Asia Pacific,Hong Kong,71 ms,15522 kB/s
34.49.212.232,80,false,LAX,North America,Los Angeles,303 ms,10801 kB/s
35.244.181.58,80,false,SJC,North America,San Jose,607 ms,8258 kB/s
34.49.199.30,80,false,LAX,North America,Los Angeles,275 ms,6404 kB/s
13.230.34.30,80,false,NRT,Asia Pacific,Tokyo,76 ms,17318 kB/s
13.124.44.168,80,false,ICN,Asia Pacific,Seoul,104 ms,14926 kB/s
